key,values
"Alabama","4910880",
"Alaska","792276",
"Arizona","6814276",
"Arkansas","3017887",
"California","39874498",
"Colorado","5431156",
"Connecticut","3680168",
"Delaware","949956",
"District of Columbia","665577",
"Florida","19961333",
"Georgia","10198954",
"Hawaii","1856970",
"Idaho","1650655",
"Illinois","13129033",
"Indiana","6699368",
"Iowa","3144663",
"Kansas","2979127",
"Kentucky","4474551",
"Louisiana","4699985",
"Maine","1350642",
"Maryland","6097719",
"Massachusetts","6846294",
"Michigan","10132602",
"Minnesota","5554093",
"Mississippi","3027952",
"Missouri","6176629",
"Montana","1042390",
"Nebraska","1907721",
"Nevada","2911867",
"New Hampshire","1345264",
"New Jersey","9094136",
"New Mexico","2139370",
"New York","20145053",
"North Carolina","10064536",
"North Dakota","737716",
"Ohio","11823436",
"Oklahoma","4087522",
"Oregon","4082824",
"Pennsylvania","13019073",
"Rhode Island","1080355",
"South Carolina","4859801",
"South Dakota","863831",
"Tennessee","6612549",
"Texas","26951992",
"Utah","2973128",
"Vermont","638317",
"Virginia","8505506",
"Washington","7312029",
"West Virginia","1884256",
"Wisconsin","5847974",
"Wyoming","594424",